Node,Community,Betweenness,Degree,Connected Communities,Comm Size,Relative Betweenness,Degree Centrality
70188,49,350.6999999999999,20,1,3182,100.0,0.00017157073003345628
97891,2,332.4357142857143,8,1,3782,94.79204855594936,6.862829201338252e-05
82706,26,233.0,5,1,4829,66.43855146849161,4.289268250836407e-05
96474,24,227.99999999999997,6,1,4059,65.01283147989736,5.147121901003689e-05
76679,3,226.0,7,1,5672,64.44254348445968,6.00497555117097e-05
84643,23,223.0,6,1,568,63.587111491303126,5.147121901003689e-05
55727,0,214.16666666666663,7,1,6880,61.068339511453296,6.00497555117097e-05
108351,46,213.21666666666658,7,1,2490,60.79745271362038,6.00497555117097e-05
100283,15,199.0,7,1,3534,56.743655546050775,6.00497555117097e-05
77281,59,195.0,6,1,6421,55.603079555175384,5.147121901003689e-05
88080,1,192.74999999999997,7,1,3725,54.96150556030797,6.00497555117097e-05
47083,243,191.83333333333334,5,1,111,54.70012356239904,4.289268250836407e-05
113395,13,191.0,6,1,2183,54.46250356429999,5.147121901003689e-05
35889,267,181.0,6,1,554,51.6110635871115,5.147121901003689e-05
71405,16,181.0,6,1,2132,51.6110635871115,5.147121901003689e-05
44922,6,167.33333333333331,5,1,4000,47.714095618287246,4.289268250836407e-05
38050,223,161.0,7,1,90,45.90818363273455,6.00497555117097e-05
77158,154,159.5,6,1,1887,45.48046763615628,5.147121901003689e-05
30534,479,154.0,7,1,140,43.912175648702615,6.00497555117097e-05
110452,161,154.0,5,1,504,43.912175648702615,4.289268250836407e-05
20335,41,153.0,5,1,1502,43.62703165098376,4.289268250836407e-05
26758,74,151.33333333333331,6,1,676,43.151791654785676,5.147121901003689e-05
14093,4,149.0,6,1,3470,42.48645566010837,5.147121901003689e-05
37136,7,148.00000000000003,6,1,451,42.20131166238953,5.147121901003689e-05
58007,56,144.54999999999995,6,1,323,41.21756487025948,5.147121901003689e-05
75398,279,144.0,5,1,109,41.06073567151413,4.289268250836407e-05
101725,14,139.8,7,1,2789,39.863130881094975,6.00497555117097e-05
107623,60,139.13333333333333,7,1,312,39.67303488261573,6.00497555117097e-05
92296,108,139.0,4,1,143,39.635015682919885,3.431414600669126e-05
64157,103,138.5,6,1,80,39.49244368406046,5.147121901003689e-05
93141,75,138.0,5,1,453,39.349871685201045,4.289268250836407e-05
27161,158,135.88333333333333,6,1,479,38.746316890029476,5.147121901003689e-05
64480,493,133.66666666666666,4,1,192,38.11424769508603,3.431414600669126e-05
79305,92,128.33333333333331,5,1,330,36.59347970725217,4.289268250836407e-05
68498,21,128.0,5,1,4030,36.49843170801256,4.289268250836407e-05
96689,67,128.0,6,1,2042,36.49843170801256,5.147121901003689e-05
89330,195,126.0,4,1,230,35.92814371257486,3.431414600669126e-05
35299,99,123.0,4,1,295,35.07271171941832,3.431414600669126e-05
8544,527,122.5,8,1,163,34.9301397205589,6.862829201338252e-05
54065,93,122.5,4,1,223,34.9301397205589,3.431414600669126e-05
84297,81,119.5,7,1,50,34.07470772740235,6.00497555117097e-05
75887,610,118.23333333333333,5,1,98,33.71352533029181,4.289268250836407e-05
108402,31,114.12142857142858,5,1,2226,32.54104036824312,4.289268250836407e-05
109216,165,110.5,5,1,50,31.50841174793272,4.289268250836407e-05
95847,20,105.0,4,1,377,29.94011976047905,3.431414600669126e-05
12195,504,105.0,5,1,284,29.94011976047905,4.289268250836407e-05
27076,176,104.5,4,1,434,29.79754776161963,3.431414600669126e-05
32658,366,104.5,4,1,381,29.79754776161963,3.431414600669126e-05
75153,73,104.0,5,1,535,29.654975762760206,4.289268250836407e-05
43877,674,102.0,4,1,117,29.08468776732251,3.431414600669126e-05
65178,85,101.50000000000003,5,1,1099,28.942115768463093,4.289268250836407e-05
90243,1527,101.5,4,1,65,28.942115768463083,3.431414600669126e-05
67547,469,101.0,5,1,92,28.79954376960366,4.289268250836407e-05
41596,184,101.0,4,1,304,28.79954376960366,3.431414600669126e-05
11079,220,95.0,6,1,343,27.08867978329057,5.147121901003689e-05
70739,245,93.66666666666666,4,1,247,26.708487786332103,3.431414600669126e-05
89233,773,93.0,5,1,106,26.518391787852874,4.289268250836407e-05
49887,149,93.0,4,1,44,26.518391787852874,3.431414600669126e-05
108665,953,93.0,5,1,147,26.518391787852874,4.289268250836407e-05
76697,269,92.75000000000001,6,1,396,26.44710578842317,5.147121901003689e-05
112759,61,91.66666666666667,5,1,234,26.13819979089441,4.289268250836407e-05
35399,265,90.0,6,1,72,25.662959794696334,5.147121901003689e-05
107280,659,89.66666666666666,7,1,67,25.56791179545671,6.00497555117097e-05
10100,66,89.50000000000001,6,1,421,25.520387795836914,5.147121901003689e-05
101942,507,89.5,6,1,110,25.520387795836907,5.147121901003689e-05
86592,259,87.5,4,1,215,24.95009980039921,3.431414600669126e-05
103161,90,87.26666666666667,5,1,132,24.88356620093148,4.289268250836407e-05
368,57,85.33333333333334,7,1,44,24.33228780534171,6.00497555117097e-05
70637,1552,85.08333333333334,4,1,148,24.261001805911995,3.431414600669126e-05
16297,72,85.0,4,1,74,24.23723980610209,3.431414600669126e-05
105530,45,85.0,6,1,1572,24.23723980610209,5.147121901003689e-05
4678,291,84.66666666666666,5,1,25,24.14219180686247,4.289268250836407e-05
68282,71,84.33333333333334,4,1,148,24.047143807622863,3.431414600669126e-05
44745,140,84.0,4,1,141,23.95209580838324,3.431414600669126e-05
19328,502,84.0,7,1,34,23.95209580838324,6.00497555117097e-05
98074,536,83.5,5,1,30,23.80952380952382,4.289268250836407e-05
62174,189,82.0,7,1,155,23.381807812945546,6.00497555117097e-05
97509,439,81.5,6,1,159,23.239235814086122,5.147121901003689e-05
16564,521,80.0,5,1,179,22.81151981750785,4.289268250836407e-05
70923,294,79.0,4,1,215,22.526375819789003,3.431414600669126e-05
57628,54,78.5,4,1,155,22.383803820929575,3.431414600669126e-05
79419,69,77.16666666666667,5,1,199,22.003611823971113,4.289268250836407e-05
89132,287,77.0,3,1,47,21.956087824351307,2.5735609505018444e-05
56500,210,77.0,4,1,409,21.956087824351307,3.431414600669126e-05
59375,386,75.0,4,1,189,21.38579982891361,3.431414600669126e-05
104009,227,74.16666666666666,4,1,240,21.148179830814566,3.431414600669126e-05
43420,25,73.0,4,1,100,20.815511833475913,3.431414600669126e-05
71656,98,73.0,4,1,725,20.815511833475913,3.431414600669126e-05
74561,70,72.91666666666667,7,1,101,20.79174983366601,6.00497555117097e-05
113412,1256,72.0,5,1,32,20.530367835757065,4.289268250836407e-05
49475,175,72.0,5,1,61,20.530367835757065,4.289268250836407e-05
102118,304,71.16666666666666,7,1,104,20.29274783765802,6.00497555117097e-05
88939,626,71.0,4,1,139,20.245223838038218,3.431414600669126e-05
57519,217,71.0,5,1,54,20.245223838038218,4.289268250836407e-05
96790,319,70.13333333333333,6,1,28,19.998099040015212,5.147121901003689e-05
59265,27,67.0,5,1,78,19.104647847162823,4.289268250836407e-05
53755,77,66.5,5,1,313,18.9620758483034,4.289268250836407e-05
43089,76,66.5,4,1,22,18.9620758483034,3.431414600669126e-05
64611,636,66.5,4,1,119,18.9620758483034,3.431414600669126e-05
97954,143,66.0,5,1,193,18.819503849443976,4.289268250836407e-05
97209,871,64.91666666666666,4,1,39,18.510597851915218,3.431414600669126e-05
18177,222,64.5,4,1,50,18.391787852865704,3.431414600669126e-05
33534,387,64.5,6,1,177,18.391787852865704,5.147121901003689e-05
105977,447,64.0,4,1,122,18.24921585400628,3.431414600669126e-05
112674,531,63.75,5,1,30,18.17792985457657,4.289268250836407e-05
77501,112,62.0,4,1,541,17.67892785856858,3.431414600669126e-05
38507,190,61.0,3,1,231,17.393783860849734,2.5735609505018444e-05
63498,236,60.5,4,1,61,17.251211861990313,3.431414600669126e-05
79001,477,60.0,3,1,91,17.108639863130886,2.5735609505018444e-05
66346,320,58.5,4,1,126,16.680923866552614,3.431414600669126e-05
102028,43,58.0,4,1,104,16.53835186769319,3.431414600669126e-05
49021,42,58.0,4,1,365,16.53835186769319,3.431414600669126e-05
19089,860,58.0,4,1,41,16.53835186769319,3.431414600669126e-05
35364,229,58.0,5,1,94,16.53835186769319,4.289268250836407e-05
68246,629,57.0,3,1,115,16.253207869974343,2.5735609505018444e-05
96576,765,57.0,4,1,48,16.253207869974343,3.431414600669126e-05
113872,1982,57.0,5,1,25,16.253207869974343,4.289268250836407e-05
47844,202,57.0,3,1,104,16.253207869974343,2.5735609505018444e-05
67975,394,57.0,5,1,65,16.253207869974343,4.289268250836407e-05
76802,412,57.0,3,1,394,16.253207869974343,2.5735609505018444e-05
66825,1540,56.5,4,1,35,16.11063587111492,3.431414600669126e-05
51722,458,56.0,4,1,35,15.968063872255495,3.431414600669126e-05
92036,96,56.0,3,1,113,15.968063872255495,2.5735609505018444e-05
17238,464,54.0,5,1,46,15.397775876817798,4.289268250836407e-05
56180,340,53.833333333333336,4,1,136,15.35025187719799,3.431414600669126e-05
67986,28,53.0,3,1,30,15.11263187909895,2.5735609505018444e-05
1460,170,51.666666666666664,5,1,22,14.732439882140486,4.289268250836407e-05
113544,127,51.0,8,1,47,14.542343883661255,6.862829201338252e-05
