community,node_index,rank_in_community,x,y
0,85162,1,77.0625242,28.6199053
0,115297,2,77.0640491,28.6145345
0,24267,3,77.0783498,28.6095731
1,71228,1,77.1776102,28.6047892
1,70175,2,77.1754439,28.5917805
1,101818,3,77.180755,28.6019775
2,100179,1,77.161424,28.6616303
2,121519,2,77.1800726,28.6635346
2,121523,3,77.1705943,28.6661589
3,201,1,77.1009872,28.7041443
3,84378,2,77.1093541,28.7134555
3,67529,3,77.0924175,28.7008635
4,13265,1,77.2283274,28.5518409
4,86967,2,77.2297925,28.5532521
4,98142,3,77.2281581,28.5534047
5,68395,1,77.1091747,28.7738763
5,4075,2,77.0976112,28.7797165
5,98829,3,77.1333462,28.770948
6,40140,1,77.1767288,28.5776691
6,41690,2,77.1754589,28.5798727
6,122186,3,77.1724522,28.5850787
7,71036,1,77.2538272,28.6884027
7,96920,2,77.2538799,28.6669289
7,97548,3,77.2772751,28.68788
8,51937,1,77.1583906,28.6580491
8,23730,2,77.1597896,28.6608623
8,72400,3,77.1511868,28.6487791
9,52999,1,77.0925391,28.5260433
9,51697,2,77.0980582,28.5218078
9,122210,3,77.1047682,28.5308565
10,70398,1,77.1847168,28.495864
10,41124,2,77.1744998,28.5057323
10,41110,3,77.1754304,28.5075866
11,34686,1,77.2151796,28.6628207
11,64416,2,77.2466694,28.6461984
11,12719,3,77.2461256,28.6577601
12,73207,1,76.9936403,28.5543099
12,9575,2,77.0083565,28.5869965
12,111647,3,76.9954719,28.5847243
13,2470,1,77.1557485,28.5754328
13,64190,2,77.1587704,28.5384755
13,68326,3,77.1844335,28.5501585
14,117563,1,77.2047909,28.6987077
14,67860,2,77.1936835,28.7028124
14,88519,3,77.1876253,28.6961058
15,121599,1,77.0643458,28.6820054
15,121603,2,77.0750617,28.6816186
15,19974,3,77.0763773,28.6814645
16,117561,1,77.2154838,28.6947236
16,117562,2,77.2088393,28.6972352
16,84938,3,77.2219662,28.7027853
17,122177,1,77.1823358,28.5709299
17,10529,2,77.1871622,28.5699475
17,43873,3,77.1911238,28.5695425
18,11678,1,77.2861669,28.63216
18,11683,2,77.28609,28.6280947
18,11681,3,77.2860948,28.6274549
19,121602,1,77.0349151,28.6822639
19,48970,2,77.0179832,28.6901517
19,102849,3,77.0276317,28.6931647
20,84950,1,77.1744033,28.6881026
20,84960,2,77.1800663,28.6854242
20,84959,3,77.1744007,28.6878477
21,84116,1,77.1113274,28.7335259
21,102452,2,77.111906,28.7290301
21,116825,3,77.1115024,28.7368022
22,34732,1,77.2082006,28.6642132
22,34685,2,77.2121823,28.6629593
22,11382,3,77.2184447,28.6369448
23,113,1,77.125804,28.6021335
23,114,2,77.1253642,28.601248
23,115,3,77.1254978,28.6011942
24,11986,1,77.1534862,28.691873
24,88342,2,77.1445026,28.6889141
24,10638,3,77.1478617,28.6902024
25,22116,1,77.265508,28.5818187
25,1582,2,77.2880757,28.5731966
25,103899,3,77.2668052,28.5799148
26,90311,1,77.1403264,28.4714237
26,53903,2,77.1301241,28.4754428
26,90309,3,77.1355382,28.4726501
27,97600,1,77.3087136,28.6876442
27,6900,2,77.3082141,28.6901233
27,98216,3,77.3037171,28.6898191
28,37532,1,76.9856478,28.6114696
28,4595,2,76.9826354,28.6097401
28,96449,3,76.9799738,28.6133634
29,30653,1,77.1473989,28.6542973
29,72379,2,77.1440086,28.654834
29,90752,3,77.1372786,28.6431015
30,83597,1,77.0780088,28.6560602
30,144,2,77.0668705,28.6496337
30,21095,3,77.0576416,28.6469477
31,99883,1,77.1087788,28.6569849
31,111883,2,77.1253908,28.6503094
31,844,3,77.1526665,28.6548527
32,60320,1,76.9883761,28.7659186
32,61653,2,76.966032,28.774254
32,60326,3,76.9633169,28.7766162
33,31194,1,77.2631742,28.5834036
33,46602,2,77.2583805,28.5893624
33,5657,3,77.2601098,28.5854629
34,122048,1,77.1201236,28.676254
34,11989,2,77.1395564,28.6737539
34,11987,3,77.1366116,28.6740865
35,85480,1,77.2831668,28.6898393
35,11149,2,77.2731522,28.6717902
35,98809,3,77.2713558,28.6715693
36,6897,1,77.2921869,28.6892733
36,113930,2,77.2919306,28.6922658
36,87023,3,77.296078,28.7030913
37,173,1,77.1949591,28.6219712
38,24037,1,77.1895877,28.6337631
38,69654,2,77.1986581,28.631736
38,22870,3,77.1939341,28.6310321
39,91541,1,77.2785858,28.6503687
39,68699,2,77.2729442,28.6506763
39,100506,3,77.2685543,28.6495074
40,97661,1,77.2019167,28.5963289
40,98921,2,77.2127502,28.5909632
40,101882,3,77.2310527,28.6094695
41,15113,1,77.0358175,28.7315036
41,90296,2,77.0401111,28.7368146
41,82623,3,77.065365,28.7295604
42,7887,1,77.0958751,28.6862398
42,7886,2,77.0959303,28.6865584
42,7881,3,77.096343,28.6889668
43,109494,1,77.242904,28.5121983
43,94654,2,77.240853,28.4920613
43,109563,3,77.2476178,28.5029533
44,122099,1,77.1293275,28.541767
44,122221,2,77.1170937,28.539606
44,113849,3,77.1242955,28.5465473
45,90936,1,77.2823139,28.6715703
45,100915,2,77.2878649,28.6670085
45,95151,3,77.2843352,28.6706299
46,108804,1,77.0845392,28.8341147
46,11016,2,77.088908,28.8349254
46,68822,3,77.0969224,28.8372962
47,92748,1,77.08592,28.6503246
47,69217,2,77.0719102,28.6375164
47,83532,3,77.0883742,28.6533605
48,112324,1,77.1610376,28.4851774
48,102408,2,77.1727774,28.5040648
48,113219,3,77.1678695,28.4753026
49,94214,1,77.0226667,28.6375466
49,95912,2,77.0233352,28.6350343
49,9535,3,77.0201463,28.6453923
50,69621,1,77.07198,28.6912948
50,12930,2,77.0753023,28.7006386
50,102342,3,77.0717074,28.6908438
51,102353,1,77.0739969,28.741926
51,86289,2,77.048977,28.7409327
51,86288,3,77.0545067,28.7514271
52,329,1,77.0410344,28.7067059
52,119149,2,77.0619857,28.7123375
52,50179,3,77.0529593,28.6972873
53,82626,1,77.0741459,28.7157732
53,96965,2,77.0853014,28.7056048
53,119147,3,77.0635222,28.7111469
54,57525,1,76.9608225,28.6195505
54,113327,2,76.9248866,28.6019565
54,113223,3,76.9221126,28.6012276
55,26778,1,77.3033489,28.7051355
55,7755,2,77.3086299,28.7056014
55,70294,3,77.3123785,28.7041166
56,82147,1,77.2996749,28.4995608
56,82148,2,77.3021017,28.4982178
56,52977,3,77.3011643,28.5001986
57,27307,1,77.0181553,28.6169101
57,10718,2,76.9927591,28.6125918
57,101995,3,77.0138103,28.618466
58,84958,1,77.1727786,28.6938769
58,100033,2,77.1628904,28.7012481
