Community,Size
4,35
49,30
59,29
108,28
25,27
100,26
65,24
54,24
42,24
102,23
9,23
3,22
2,21
8,21
11,21
48,21
106,20
82,20
29,19
19,19
18,18
7,18
24,18
34,18
89,17
16,17
97,17
15,17
39,17
41,17
71,17
43,16
6,16
53,16
99,15
79,15
5,14
69,14
98,14
12,14
75,13
20,13
83,13
72,13
28,13
80,13
52,13
64,12
101,12
50,12
120,12
32,12
88,12
40,11
107,11
93,11
123,11
45,10
27,10
14,10
10,10
62,10
68,10
90,10
67,10
22,9
23,9
94,9
47,9
73,9
37,8
60,8
63,8
0,8
111,8
1,8
95,8
92,8
21,7
33,7
77,7
115,7
86,7
38,7
81,7
78,7
13,6
66,6
105,6
55,6
84,6
91,5
96,5
51,5
46,5
70,5
104,5
61,5
121,5
117,5
114,5
57,5
87,4
31,4
58,4
76,4
17,4
119,4
122,4
36,4
110,4
44,4
85,3
30,3
26,3
103,3
116,3
112,3
113,3
35,3
56,3
109,3
74,2
118,1
