Community,Size
19,61
28,52
68,39
66,36
82,35
5,33
57,32
49,32
71,32
83,29
90,28
63,27
12,24
8,24
3,23
26,23
93,23
9,23
10,22
58,21
2,20
22,20
65,20
24,18
20,18
16,17
96,17
17,17
42,17
51,17
7,16
88,16
39,16
4,16
69,15
30,15
13,15
86,15
40,15
6,14
79,14
48,14
64,14
85,13
38,13
50,12
87,12
109,11
74,11
72,11
92,11
44,10
15,10
27,9
46,9
41,9
25,9
70,9
62,9
61,8
84,8
75,8
21,7
59,7
73,7
37,7
54,7
76,7
78,7
11,7
14,6
23,6
1,6
31,6
0,5
36,5
52,5
56,5
67,5
77,5
60,5
102,5
80,5
104,5
100,5
98,5
91,5
32,4
55,4
53,4
45,4
35,4
99,4
95,4
29,4
103,4
18,4
107,4
108,4
81,4
34,3
97,3
33,3
94,3
101,3
43,3
89,3
105,3
47,3
106,1
