Community,Size,Top_betweenness_Node,betweenness_Value,Top_closeness_Node,closeness_Value,Top_degree_Node,degree_Value,Top_eigenvector_Node,eigenvector_Value,Top_pagerank_Node,pagerank_Value,Top_authority_Node,authority_Value,Top_hub_Node,hub_Value,Top_constraint_Node,constraint_Value,Top_eccentricity_Node,eccentricity_Value,Top_degree_centrality_Node,degree_centrality_Value
8,120,1264,508812.1016205674,365,0.1020704685797312,1264,27,365,0.0026694370332378562,1264,0.004904172326397136,365,0.002669437033238085,365,0.002669437033238034,1264,0.047247653545612535,365,24.0,1264,0.01913536498936924
0,116,1378,260009.33361001237,1378,0.07508550662676357,9,30,1378,0.0025121185114770268,9,0.005459313143683956,1378,0.0025121185114777055,1378,0.002512118511477603,9,0.051694647581254714,663,35.0,9,0.021261516654854713
15,91,1131,226772.6196031656,914,0.07510156082959162,1131,26,914,2.688591366782957e-08,1131,0.004811309548409195,914,2.6885913639667826e-08,914,2.6885913632395724e-08,1131,0.04974400065746221,914,32.0,1131,0.01842664776754075
3,89,1354,146902.70276663982,1354,0.06733119279244741,1354,20,1354,0.0004528561735468645,1354,0.0038548966293892577,1354,0.00045285617354746087,1354,0.00045285617354735706,1354,0.0658842013888889,1354,37.0,1354,0.014174344436569808
5,84,54,456596.1606446096,54,0.09738684411173494,54,34,54,1.0,54,0.005351575536075267,54,1.0,54,1.0,54,0.05187141072326875,337,28.0,54,0.024096385542168676
24,71,445,110561.57219934305,445,0.054645871416903274,897,22,445,2.199256617095384e-12,897,0.0035907875413891915,445,2.1994469591967343e-12,445,2.199413165782875e-12,897,0.0791537592998632,445,39.0,897,0.01559177888022679
13,69,1410,492963.903021296,721,0.1035448448669762,1410,28,1410,0.18495488611859828,1410,0.004591019463916657,1410,0.18495488611860048,1410,0.1849548861185997,1410,0.0625291936052795,245,26.0,1410,0.019844082211197732
10,68,120,22336.874196711957,118,0.09579327742551305,128,11,582,0.044888625924559736,128,0.002147936759902428,582,0.04488862592456033,582,0.0448886259245602,128,0.10984848484848486,118,26.0,128,0.007795889440113395
1,62,1387,322623.2649058478,1387,0.08302310465047569,1387,27,1387,0.04669879931779442,1387,0.004505611264770592,1387,0.04669879931779566,1387,0.046698799317795366,1387,0.05864557401480124,224,33.0,1387,0.01913536498936924
23,61,1411,175450.14199341513,1176,0.062447219876438954,1411,13,1176,3.2625653672564795e-10,1411,0.0023050909009457157,1176,3.2625653589712617e-10,1176,3.262565305196421e-10,1411,0.11440253122945432,1176,36.0,1411,0.009213323883770375
14,61,823,350418.9357531756,823,0.08851508851508852,823,18,823,4.181815627811754e-06,823,0.0032150702677194334,823,4.181815627580217e-06,823,4.181815627651696e-06,823,0.09999692804395335,823,29.0,823,0.012756909992912827
