Community,Size
4,35
48,32
67,30
49,30
58,29
107,28
25,27
2,26
18,26
99,26
82,25
64,24
9,23
101,23
3,22
8,21
11,21
53,20
105,20
29,19
81,19
62,19
7,18
24,18
40,17
16,17
15,17
38,17
70,17
19,16
6,16
43,16
52,16
41,15
78,15
98,15
39,15
5,14
12,14
97,14
83,13
89,13
20,13
28,13
51,13
74,13
88,12
32,12
50,12
100,12
119,12
63,12
93,11
106,11
122,11
27,10
10,10
14,10
45,10
61,10
66,10
90,10
42,9
71,9
22,9
77,9
23,9
94,9
47,9
95,8
59,8
1,8
36,8
92,8
0,8
110,8
21,7
114,7
76,7
33,7
80,7
86,7
37,7
84,6
13,6
104,6
54,6
65,6
91,5
116,5
69,5
113,5
120,5
96,5
103,5
60,5
46,5
56,5
44,4
35,4
75,4
87,4
31,4
57,4
109,4
118,4
121,4
17,4
111,3
30,3
34,3
108,3
85,3
112,3
102,3
26,3
115,3
55,3
73,2
72,2
68,2
79,2
117,1
