Community,Size
38,75
51,57
9,44
58,39
24,39
23,37
14,36
57,36
85,29
10,28
25,28
76,26
12,26
70,26
15,25
39,24
62,24
3,23
87,22
5,21
37,21
81,20
8,18
27,17
63,17
83,17
4,17
90,16
21,15
28,15
11,15
40,15
18,15
75,14
66,14
19,14
16,14
7,14
6,14
67,13
71,13
82,13
60,12
56,12
30,12
105,11
78,11
22,11
47,10
44,10
94,10
103,10
2,9
20,9
97,9
42,9
79,9
77,9
41,9
61,8
0,8
55,8
46,8
48,8
49,7
54,7
1,7
52,7
35,7
92,7
68,7
69,6
50,6
72,6
26,6
99,6
13,6
31,6
86,6
80,5
65,5
53,5
59,5
98,5
34,4
45,4
104,4
102,4
96,4
93,4
74,4
29,4
36,4
100,3
33,3
84,3
64,3
32,3
89,3
73,3
43,3
95,3
88,3
91,3
17,2
101,1
