Community,Size,Top_betweenness_Node,betweenness_Value,Top_closeness_Node,closeness_Value,Top_degree_Node,degree_Value,Top_eigenvector_Node,eigenvector_Value,Top_pagerank_Node,pagerank_Value,Top_authority_Node,authority_Value,Top_hub_Node,hub_Value,Top_constraint_Node,constraint_Value,Top_eccentricity_Node,eccentricity_Value,Top_degree_centrality_Node,degree_centrality_Value
8,114,1264,508812.1016205674,550,0.1003284775778349,1264,27,550,0.0004324452825879619,1264,0.004904172326402269,550,0.00043244528258777046,550,0.00043244528258773874,1264,0.047247653545612535,550,25.0,1264,0.01913536498936924
0,113,1378,260009.33361001237,1378,0.07508550662676357,9,30,1378,0.0025121185114781916,9,0.005459313143684221,1378,0.0025121185114778985,1378,0.0025121185114776916,9,0.051694647581254714,1184,35.0,9,0.021261516654854713
12,92,1410,492963.903021296,721,0.1035448448669762,1410,28,1410,0.18495488611860042,1410,0.0045910194639126505,1410,0.18495488611860073,1410,0.18495488611860025,1410,0.0625291936052795,245,26.0,1410,0.019844082211197732
3,89,1354,146902.70276663982,1354,0.06733119279244741,1354,20,1354,0.0004528561735480604,1354,0.0038548966293888965,1354,0.0004528561735477147,1354,0.00045285617354743333,1354,0.0658842013888889,1354,37.0,1354,0.014174344436569808
14,89,1131,226772.6196031656,914,0.07510156082959162,1131,26,914,2.688591364239016e-08,1131,0.004811309548413656,914,2.6885913627462733e-08,914,2.6885913615760715e-08,1131,0.04974400065746221,914,32.0,1131,0.01842664776754075
7,88,92,497558.64545441855,92,0.10490554767415815,92,27,92,0.05787981299272046,92,0.004118908818423651,92,0.05787981299272103,92,0.05787981299272058,92,0.07012653577917473,72,24.0,92,0.01913536498936924
1,87,1387,322623.2649058478,50,0.08673910359303617,1387,27,50,0.07287088117514043,1387,0.004505611264771053,50,0.07287088117514022,50,0.0728708811751401,1387,0.05864557401480124,50,32.0,1387,0.01913536498936924
5,81,54,456596.1606446096,54,0.09738684411173494,54,34,54,1.0,54,0.005351575536073994,54,0.9999999999999999,54,1.0,54,0.05187141072326875,732,28.0,54,0.024096385542168676
22,70,445,110561.57219934305,445,0.054645871416903274,897,22,445,2.1998291565440094e-12,897,0.0035907875413817374,445,2.1995300947815854e-12,445,2.199391779696398e-12,897,0.0791537592998632,445,39.0,897,0.01559177888022679
2,67,657,29904.561723412986,657,0.08330368789280208,30,16,1330,0.017448853431329726,30,0.0028563267779020966,1330,0.01744885343132958,1330,0.017448853431329518,30,0.09312432459963152,657,32.0,30,0.011339475549255847
16,65,1397,25008.27106834528,1053,0.09068026332773978,1053,9,1053,3.584502139867554e-05,352,0.001808148185901067,1053,3.584502139847391e-05,1053,3.5845021398432925e-05,226,0.15140625,226,27.0,1053,0.0063784549964564135
21,64,1411,175450.14199341513,1026,0.0631489055687896,1411,13,1176,3.2625664629987676e-10,1411,0.0023050909009448917,1176,3.262565364472289e-10,1176,3.262565096621358e-10,1411,0.11440253122945432,1026,36.0,1411,0.009213323883770375
13,61,823,350418.9357531756,823,0.08851508851508852,823,18,823,4.181815628135785e-06,823,0.003215070267720132,823,4.181815627681113e-06,823,4.181815627532097e-06,823,0.09999692804395335,823,29.0,823,0.012756909992912827
9,56,120,22336.874196711957,840,0.088115396676074,840,12,840,0.003279534162296699,128,0.00214793675990102,840,0.0032795341622967487,840,0.00327953416229665,128,0.10984848484848486,136,27.0,840,0.008504606661941885
11,49,134,34980.23784673495,503,0.09497093416249831,1302,10,503,0.00270120981052111,1302,0.0018763579666500653,503,0.0027012098105211476,503,0.002701209810521133,1302,0.15049784580498868,503,25.0,1302,0.007087172218284904
10,49,728,453586.88307450054,728,0.10008548226243054,728,13,728,0.3072528649716755,1117,0.0021941519373644357,728,0.3072528649716756,728,0.30725286497167564,1117,0.11001877401578633,337,28.0,728,0.009213323883770375
18,38,1235,28070.286381093996,788,0.08114820376573871,1235,13,788,4.518570652996612e-07,1235,0.0023851164549567832,788,4.518570651862373e-07,788,4.518570651926059e-07,1235,0.14587626591289596,788,30.0,1235,0.009213323883770375
4,30,624,39904.333333333336,624,0.05101114620774788,944,13,624,4.207292105660847e-08,944,0.0021094915709661656,624,4.2072921014020937e-08,624,4.2072920990115443e-08,944,0.17063609467455623,624,42.0,944,0.009213323883770375
17,29,351,25604.48385895132,1074,0.08245305164319248,801,9,1074,5.835584020712315e-07,801,0.0016898466438055133,1074,5.835584019797217e-07,1074,5.83558401984097e-07,801,0.13104623330813805,240,30.0,801,0.0063784549964564135
6,29,1337,130720.28244337086,1337,0.09012765411508114,1337,16,598,0.13886163431930718,1337,0.002862576342257195,598,0.1388616343193072,598,0.1388616343193074,1337,0.10849242764235324,598,30.0,1337,0.011339475549255847
19,25,1011,33108.1750798223,1011,0.09071539256198347,1011,11,1011,3.795196893271959e-05,1011,0.0021950837524027547,1011,3.795196893252899e-05,1011,3.795196893246125e-05,1011,0.10288349261413235,866,27.0,1011,0.007795889440113395
20,21,1272,24152.47414905356,1272,0.05188522471287714,385,4,1272,3.055774070818422e-13,385,0.001026028542100997,1272,3.0549391662985817e-13,1272,3.0547826938574554e-13,386,0.3333333333333333,1272,40.0,385,0.002834868887313962
15,5,642,1.5,642,0.8,642,3,691,1.2919677155885296e-18,642,0.0008714379971870512,642,1.231547065596572e-19,213,0.0,642,0.3333333333333333,213,2.0,642,0.002126151665485471
23,1,895,0.0,895,,895,0,895,0.0,895,0.00010629628317390521,895,0.0,895,0.0,895,,895,0.0,895,0.0
