Community,Size,Top_Betweenness_Node,Betweenness_Value,Top_Closeness_Node,Closeness_Value
0,114,1378,260009.33361001237,1378,0.07508550662676357
14,93,1131,226772.6196031656,914,0.07510156082959162
3,87,1354,146902.70276663982,1354,0.06733119279244741
5,80,54,456596.1606446096,54,0.09738684411173494
15,73,1304,412643.03055310517,1304,0.09579980908223101
24,70,445,110561.57219934305,445,0.054645871416903274
18,69,823,350418.9357531756,823,0.08851508851508852
13,69,1410,492963.903021296,721,0.1035448448669762
2,69,657,29904.561723412986,657,0.08330368789280208
8,68,1264,508812.1016205674,365,0.1020704685797312
10,68,120,22336.874196711957,118,0.09579327742551305
23,64,1411,175450.14199341513,1026,0.0631489055687896
1,62,1387,322623.2649058478,1387,0.08302310465047569
6,53,50,237141.51932311,146,0.09356063128454419
9,52,91,27896.837381764144,84,0.09579980908223101
11,49,728,453586.88307450054,728,0.10008548226243054
12,48,134,34980.23784673495,503,0.09497093416249831
7,46,92,497558.64545441855,92,0.10490554767415815
20,38,1235,28070.286381093996,788,0.08114820376573871
17,37,226,22673.12098865189,1053,0.09068026332773978
4,31,1242,41250.0,1242,0.053632095278085275
19,29,351,25604.48385895132,1074,0.08245305164319248
22,21,1272,24152.47414905356,1272,0.05188522471287714
21,16,1409,12966.361693191691,1057,0.08468957203134418
16,5,642,1.5,642,0.8
25,1,895,0.0,895,
