node_id,community,rank,x,y,Betweenness Centrality
1378,0,1,76.8315349,28.2668362,260009.33361001237
9,0,2,76.8303094,28.2640873,209245.91629113487
1373,0,3,76.8464155,28.2769743,27996.561064213114
1387,1,1,76.8114583,28.2408713,322623.2649058478
3,1,2,76.8291337,28.2619768,265757.7119336555
1406,1,3,76.8116858,28.2409731,15544.954918867219
1382,2,1,76.8290997,28.2626478,25297.402731775626
30,2,2,76.8169989,28.2750927,24798.814369322794
29,2,3,76.8090011,28.2795861,23714.235013542224
1354,3,1,76.8561823,28.2402036,146902.70276663982
1356,3,2,76.8655196,28.2743203,50603.56847707389
85,3,3,76.8674266,28.2692407,44629.166666666664
620,4,1,76.8663147,28.272933,42594.0
1242,4,2,76.8680294,28.274281,41250.0
624,4,3,76.8679553,28.27277,39904.333333333336
54,5,1,76.7707672,28.2400258,456596.1606446096
943,5,2,76.7949468,28.2498139,282097.9465446647
751,5,3,76.7949468,28.2498139,150351.42292108995
50,6,1,76.8117453,28.2410552,237141.51932311
961,6,2,76.8076032,28.2442858,132242.5928274594
1337,6,3,76.8006237,28.2601323,130720.28244337086
92,7,1,76.7236993,28.2786138,497558.64545441855
72,7,2,76.6782638,28.248158,467910.0369595851
503,7,3,76.6783201,28.2481361,33165.053579922416
1264,8,1,76.6382239,28.2400868,508812.1016205674
550,8,2,76.6718589,28.2678953,431216.7647559484
365,8,3,76.6720115,28.2677922,430228.1924671312
120,9,1,76.6914578,28.2423954,22336.874196711957
1221,9,2,76.6920124,28.2404358,19308.7299357634
840,9,3,76.6846902,28.2526891,19155.93060332397
728,10,1,76.7395717,28.2615812,453586.88307450054
1117,10,2,76.7663331,28.2442096,21847.8826322611
765,10,3,76.763589,28.2435512,8175.7476190477655
134,11,1,76.6827203,28.2402808,34980.23784673495
1302,11,2,76.6770782,28.2437563,33835.33193819453
883,11,3,76.6629995,28.2555392,18349.869272836637
1410,12,1,76.710476,28.2462307,492963.903021296
245,12,2,76.7270511,28.2507546,236043.04700390706
721,12,3,76.7237949,28.2789912,228947.19293666113
823,13,1,76.610312,28.2512575,350418.9357531756
496,13,2,76.5918372,28.2523223,218608.81480466478
1298,13,3,76.5917213,28.2522576,216479.30822797868
1131,14,1,76.5761854,28.2586853,226772.6196031656
783,14,2,76.5747018,28.2455873,219880.5919331631
410,14,3,76.591688,28.2522427,64363.51008534716
1304,15,1,76.6423445,28.2667035,412643.03055310517
525,15,2,76.6113004,28.261821,412217.8503639332
230,15,3,76.6503756,28.2616366,17096.228722795073
642,16,1,76.8158053,28.2495086,1.5
678,16,2,76.8163053,28.2500527,1.5
213,16,3,76.8173316,28.2490227,0.3333333333333333
351,17,1,76.6086779,28.2400031,25604.48385895132
1074,17,2,76.610304,28.2512033,24782.862752720837
353,17,3,76.6087544,28.2405576,12919.094752113017
1235,18,1,76.5959397,28.2703514,28070.286381093996
788,18,2,76.6127493,28.2691075,27472.826271472582
493,18,3,76.5974924,28.2664995,9565.932292354792
1409,19,1,76.6129167,28.2696992,12966.361693191691
601,19,2,76.6137716,28.2794091,11588.361693191842
352,19,3,76.6190755,28.2706428,8749.960224832725
1272,20,1,76.515912,28.2517034,24152.47414905356
386,20,2,76.513519,28.2473513,22818.307482386906
1110,20,3,76.5134903,28.2472949,15974.583899923606
1411,21,1,76.5638914,28.2400514,175450.14199341513
1026,21,2,76.5514996,28.2546787,172796.5999999999
504,21,3,76.5512402,28.254242,171676.26666666655
445,22,1,76.5159916,28.2518004,110561.57219934305
1096,22,2,76.5197721,28.2565282,32048.88775498969
897,22,3,76.5182097,28.2606237,23393.273038531745
895,23,1,76.5037232,28.2588179,0.0
