Community,Size,Top_Betweenness_Node,Betweenness_Value,Top_Closeness_Node,Closeness_Value
15,134,1264,508812.1016205674,1264,0.09916013833015738
1,117,1387,322623.2649058478,50,0.08673910359303617
0,114,1378,260009.33361001237,1378,0.07508550662676357
2,86,1354,146902.70276663982,1354,0.06733119279244741
4,80,54,456596.1606446096,54,0.09738684411173494
14,78,1131,226772.6196031656,417,0.07436223139621044
17,71,823,350418.9357531756,823,0.08851508851508852
24,70,445,110561.57219934305,445,0.054645871416903274
13,69,1410,492963.903021296,721,0.1035448448669762
10,68,120,22336.874196711957,118,0.09579327742551305
18,60,783,219880.5919331631,1074,0.08245305164319248
9,51,91,27896.837381764144,84,0.09579980908223101
11,49,728,453586.88307450054,728,0.10008548226243054
23,48,1411,175450.14199341513,1411,0.05738910219753288
7,48,92,497558.64545441855,92,0.10490554767415815
12,47,134,34980.23784673495,503,0.09497093416249831
19,38,1235,28070.286381093996,788,0.08114820376573871
5,37,1381,12980.70847023148,1381,0.07684734452770334
3,32,620,42594.0,620,0.056532410574176156
6,30,1337,130720.28244337086,146,0.09356063128454419
20,25,1011,33108.1750798223,1011,0.09071539256198347
22,21,1272,24152.47414905356,1272,0.05188522471287714
8,17,550,431216.7647559484,365,0.1020704685797312
21,16,1409,12966.361693191691,1057,0.08468957203134418
16,5,642,1.5,642,0.8
25,1,895,0.0,895,
