node,longitude,latitude,score
start_1077867071,76.6770181,28.2418566,22220.850610598784
end_1075961613,76.5850099,28.2607586,12390.137410769843
end_1075771810,76.5832654,28.247078,12110.929426275574
start_1075679187,76.6017672,28.2411969,10339.50782829414
start_1076772885,76.6260928,28.2586948,8144.950430645029
start_1076795760,76.6270144,28.2559744,7664.6779142768055
end_1076495970,76.5138845,28.2796774,7323.293368937627
start_162218495,76.5134903,28.2472949,6320.88237468341
start_1076516735,76.5123814,28.2742559,6200.090049560324
end_164583896,76.6382239,28.2400868,5234.015171717897
end_1075679181,76.5926351,28.251423,4878.045152653015
end_1081667565,76.8401001,28.2733015,3991.7973006143375
end_1077594096,76.6170042,28.2527885,3730.5577696595865
end_1077899975,76.6868158,28.2449989,3513.5306929044073
start_1076742645,76.5062428,28.2525521,3358.229878783326
end_1076521652,76.6615429,28.2563464,3293.5914209060047
end_1076807395,76.7836762,28.2774631,3276.714372777541
start_1077590280,76.825812,28.2587947,3201.093167837951
end_1081663516,76.8343173,28.2699428,3149.9812962107317
end_1076744995,76.6178072,28.2570752,3142.342826770085
