edge,longitude,latitude,betweenness,road_type
start_1077848400 - end_1077848400,76.7750538,28.2659269,1.0129304625263336e-07,residential
start_1077893175 - end_1077893175,76.69185965,28.24791405,1.0129304625263336e-07,residential
start_1077935031 - end_1077935031,76.85242425,28.261222,1.0129304625263336e-07,residential
start_1076786637 - end_1076786637,76.8270289,28.2501636,5.064652312631668e-08,residential
start_1078132923 - end_1078132923,76.79857535,28.261894050000002,5.064652312631668e-08,residential
start_1078090101 - end_1078090101,76.869596,28.267668800000003,5.064652312631668e-08,residential
start_1078090103 - end_1078090103,76.86643685,28.27112465,5.064652312631668e-08,residential
start_1078103524 - end_1078103524,76.67905765,28.27435835,5.064652312631668e-08,residential
start_1077926973 - end_1077926973,76.8557076,28.26023785,5.064652312631668e-08,residential
start_1078088676 - end_1078088676,76.88666699999999,28.277918399999997,5.064652312631668e-08,service
start_1077922129 - end_1077922129,76.79054665000001,28.27523865,5.064652312631668e-08,residential
start_1077879057 - end_1077879057,76.7391414,28.262849600000003,5.064652312631668e-08,residential
start_1077881499 - end_1077881499,76.6814929,28.242318400000002,5.064652312631668e-08,residential
start_1077862418 - end_1077862418,76.72441810000001,28.276247,5.064652312631668e-08,residential
start_1077600482 - end_1077600482,76.60620355,28.2427954,5.064652312631668e-08,residential
start_1077588780 - end_1077588780,76.66002535,28.278361500000003,5.064652312631668e-08,residential
start_1077589903 - end_1077589903,76.7130872,28.27617945,5.064652312631668e-08,service
start_1076825851 - end_1076825851,76.87120759999999,28.2409324,5.064652312631668e-08,residential
start_1076814341 - end_1076814341,76.67873,28.2796582,5.064652312631668e-08,residential
start_1076770093 - end_1076770093,76.61042885,28.260305000000002,5.064652312631668e-08,residential
start_1076770095 - end_1076770095,76.60982135,28.2607018,5.064652312631668e-08,residential
start_1076774595 - end_1076774595,76.64918495,28.2572507,5.064652312631668e-08,service
start_1076757711 - end_1076757711,76.6098648,28.25415975,5.064652312631668e-08,service
start_1076771841 - end_1076771841,76.60995365,28.2649513,5.064652312631668e-08,track
start_1076766478 - end_1076766478,76.6501278,28.259459149999998,5.064652312631668e-08,residential
start_1076763477 - end_1076763477,76.6051874,28.242369,5.064652312631668e-08,residential
start_1076556185 - end_1076556185,76.5753393,28.265686000000002,5.064652312631668e-08,residential
start_1076521254 - end_1076521254,76.5020692,28.25883735,5.064652312631668e-08,residential
start_1076521258 - end_1076521258,76.5046476,28.258801599999998,5.064652312631668e-08,residential
start_1076505797 - end_1076505797,76.53018015,28.27877265,5.064652312631668e-08,residential
start_1076472153 - end_1076472153,76.5428992,28.2634186,5.064652312631668e-08,residential
start_1076492139 - end_1076492139,76.52625775,28.27873335,5.064652312631668e-08,track
start_1076486823 - end_1076486823,76.5591164,28.265024500000003,5.064652312631668e-08,track
start_1076264049 - end_1076264049,76.518271,28.2580856,5.064652312631668e-08,residential
start_1075771806 - end_1075771806,76.5856945,28.24356655,5.064652312631668e-08,unclassified
start_169591692 - end_169591692,76.8899359,28.2757312,5.064652312631668e-08,secondary
start_1076813177 - end_1076813177,76.64328954999999,28.2679908,5.064652312631668e-08,residential
start_1076254396 - end_1076254396,76.5148301,28.2674533,5.064652312631668e-08,track
start_170002883 - end_170002883,76.68455335,28.2428283,5.064652312631668e-08,tertiary
start_1077895505 - end_1077895505,76.76969285,28.2683549,5.064652312631668e-08,residential
start_1076807395 - end_1076807395,76.78364305,28.27741185,5.064652312631668e-08,tertiary
start_1078185895 - end_1078185895,76.839588,28.265128750000002,5.064652312631668e-08,residential
start_1077922125 - end_1077922125,76.7959382,28.2696905,5.064652312631668e-08,residential
start_1077941717 - end_1077941717,76.87009760000001,28.27559675,5.064652312631668e-08,service
start_1077592204 - end_1077592204,76.8135643,28.265041500000002,5.064652312631668e-08,residential
start_1077585650 - end_1077585650,76.82820565,28.26327595,5.064652312631668e-08,residential
start_1077898784 - end_1077898784,76.87662664999999,28.25590445,5.064652312631668e-08,residential
start_663805761 - end_663805761,76.71563185,28.26730675,5.064652312631668e-08,unclassified
start_1076756025 - end_1076756025,76.72914095,28.2532508,5.064652312631668e-08,service
start_1076486817 - end_1076486817,76.5500706,28.257676449999998,5.064652312631668e-08,residential
start_1075965319 - end_1075965319,76.596202,28.264600700000003,5.064652312631668e-08,track
start_1076523719 - end_1076523719,76.544116,28.2431661,5.064652312631668e-08,track
start_1077605084 - end_1077605084,76.8084777,28.2423314,5.064652312631668e-08,residential
start_1076757716 - end_1076757716,76.6089388,28.25712005,5.064652312631668e-08,residential
start_1076739913 - end_1076739913,76.7602428,28.24746385,5.064652312631668e-08,residential
start_1076518228 - end_1076518228,76.66441245,28.249041650000002,5.064652312631668e-08,service
start_1076503322 - end_1076503322,76.57870804999999,28.245712150000003,5.064652312631668e-08,residential
start_1075771810 - end_1075771810,76.58326275,28.2470617,5.064652312631668e-08,unclassified
start_164583931 - end_164583931,76.6151556,28.24894785,5.064652312631668e-08,service
start_808893862 - end_808893862,76.58214855,28.24857435,5.064652312631668e-08,construction
start_1077855932 - end_1077855932,76.77173255,28.2587429,5.064652312631668e-08,residential
start_1077868394 - end_1077868394,76.67789024999999,28.2556332,5.064652312631668e-08,residential
