node,longitude,latitude,score
end_1075771810,76.5832654,28.247078,12110.929426275574
end_1281084820,76.8179421,28.248942,11706.67082076195
start_1076791872,76.6429862,28.2557736,9474.816465353048
end_1077638653,76.8079977,28.2402056,8332.51965037786
start_1076765957,76.6048535,28.2757293,7364.185059537102
start_164583914,76.610304,28.2512033,7300.972107001195
end_170002869,76.6782638,28.248158,6621.482076190217
start_170002867,76.6771393,28.2437253,5838.19684921973
start_1076742643,76.5131258,28.255339,5461.337420631778
start_170002868,76.6791013,28.2507983,5293.55758262509
end_164583896,76.6382239,28.2400868,5234.015171717897
end_1076521257,76.5038018,28.2588178,5089.054404872266
start_1075723471,76.6000212,28.2512839,5026.133151705926
start_1075679181,76.592695,28.251367,4878.045152653015
start_1077854218,76.8240099,28.2562292,4871.662712558708
start_1272660128,76.8408573,28.273849,4045.1759608584107
start_1076743305,76.5105609,28.2788388,4005.4330493479133
end_162031823,76.5138104,28.2445357,3878.9037989612525
end_1081667559,76.8436347,28.2753576,3848.9127006620556
start_1076476147,76.5457921,28.2650971,3646.5126539201083
