edge,longitude,latitude,betweenness,road_type
start_1076562180 - end_1076562180,76.5673568,28.25872715,1.0129304625263336e-07,track
start_1081667569 - end_1081667569,76.83291555,28.2639421,5.064652312631668e-08,residential
start_1078967737 - end_1078967737,76.832615,28.27280235,5.064652312631668e-08,service
start_1078366140 - end_1078366140,76.86158025,28.2794265,5.064652312631668e-08,residential
start_1077948863 - end_1077948863,76.8605911,28.2642521,5.064652312631668e-08,residential
start_1078100881 - end_1078100881,76.68200164999999,28.26595435,5.064652312631668e-08,residential
start_1078105085 - end_1078105085,76.85750365,28.2602743,5.064652312631668e-08,residential
start_1077947058 - end_1077947058,76.86481485,28.2658784,5.064652312631668e-08,residential
start_1077893180 - end_1077893180,76.69164995,28.24597375,5.064652312631668e-08,residential
start_1077899979 - end_1077899979,76.68512784999999,28.2484034,5.064652312631668e-08,residential
start_1077854216 - end_1077854216,76.82378485,28.255634450000002,5.064652312631668e-08,service
start_1077859668 - end_1077859668,76.89387825,28.2783512,5.064652312631668e-08,service
start_1077664846 - end_1077664846,76.57168709999999,28.278767350000003,5.064652312631668e-08,track
start_1077605830 - end_1077605830,76.7081883,28.2468178,5.064652312631668e-08,residential
start_1076749713 - end_1076749713,76.65420025,28.27101045,5.064652312631668e-08,track
start_1077588780 - end_1077588780,76.66002535,28.278361500000003,5.064652312631668e-08,residential
start_1077590173 - end_1077590173,76.69612715,28.274976449999997,5.064652312631668e-08,residential
start_1077591443 - end_1077591443,76.6944341,28.27244565,5.064652312631668e-08,service
start_1077592389 - end_1077592389,76.6929912,28.2681348,5.064652312631668e-08,residential
start_1076832662 - end_1076832662,76.81678135,28.27840075,5.064652312631668e-08,track
start_1076803244 - end_1076803244,76.7632033,28.24744265,5.064652312631668e-08,residential
start_1076793860 - end_1076793860,76.64741864999999,28.2599559,5.064652312631668e-08,residential
start_1076801327 - end_1076801327,76.7716164,28.2410028,5.064652312631668e-08,residential
start_1076801328 - end_1076801328,76.77048945,28.2418384,5.064652312631668e-08,residential
start_1076770088 - end_1076770088,76.6065242,28.25886985,5.064652312631668e-08,residential
start_1076770090 - end_1076770090,76.60823705,28.26037105,5.064652312631668e-08,residential
start_1076764522 - end_1076764522,76.6043189,28.24325605,5.064652312631668e-08,residential
start_1076742641 - end_1076742641,76.5097384,28.253970449999997,5.064652312631668e-08,track
start_1076556183 - end_1076556183,76.5750553,28.267977549999998,5.064652312631668e-08,residential
start_1076529360 - end_1076529360,76.66277775,28.248619599999998,5.064652312631668e-08,residential
start_1076529991 - end_1076529991,76.65886165,28.247766849999998,5.064652312631668e-08,residential
start_162218493 - end_162218493,76.544212,28.2653142,5.064652312631668e-08,unclassified
start_1076481687 - end_1076481687,76.55301979999999,28.262385799999997,5.064652312631668e-08,residential
start_1076478908 - end_1076478908,76.54050595000001,28.262313499999998,5.064652312631668e-08,residential
start_1076264046 - end_1076264046,76.518767,28.2590242,5.064652312631668e-08,residential
start_162031823 - end_162031823,76.51385554999999,28.2445108,5.064652312631668e-08,primary
start_1077594934 - end_1077594934,76.8103884,28.27056275,5.064652312631668e-08,track
start_1076812033 - end_1076812033,76.6456503,28.260857549999997,5.064652312631668e-08,residential
start_1077594096 - end_1077594096,76.6169506,28.252787400000003,5.064652312631668e-08,unclassified
start_1077858225 - end_1077858225,76.76897545,28.266997449999998,5.064652312631668e-08,residential
start_315647806 - end_315647806,76.6132112,28.2748214,5.064652312631668e-08,trunk
start_1077595579 - end_1077595579,76.8212359,28.2742096,5.064652312631668e-08,residential
start_1077628790 - end_1077628790,76.8499676,28.27163145,5.064652312631668e-08,service
start_1078986670 - end_1078986670,76.8474976,28.2649444,5.064652312631668e-08,residential
start_1077924785 - end_1077924785,76.85452774999999,28.261873299999998,5.064652312631668e-08,residential
start_1077883173 - end_1077883173,76.80573559999999,28.27972105,5.064652312631668e-08,residential
start_1077662341 - end_1077662341,76.82666259999999,28.25006545,5.064652312631668e-08,residential
start_663664161 - end_663664161,76.72803955,28.24985855,5.064652312631668e-08,tertiary
start_1076829480 - end_1076829480,76.68993395000001,28.27657045,5.064652312631668e-08,residential
start_1076535995 - end_1076535995,76.56687485,28.270441050000002,5.064652312631668e-08,residential
start_663790286 - end_663790286,76.77173345,28.26805605,5.064652312631668e-08,residential
start_663805772 - end_663805772,76.74706575,28.27808185,5.064652312631668e-08,unclassified
start_1076745213 - end_1076745213,76.7504174,28.2415119,5.064652312631668e-08,residential
start_162212479 - end_162212479,76.6067099,28.26160755,5.064652312631668e-08,unclassified
start_1077627473 - end_1077627473,76.71598885,28.24386545,5.064652312631668e-08,residential
start_1076501493 - end_1076501493,76.5787012,28.2443937,5.064652312631668e-08,residential
start_1076501494 - end_1076501494,76.5786397,28.2444943,5.064652312631668e-08,residential
start_1076501495 - end_1076501495,76.57774555,28.24380865,5.064652312631668e-08,residential
start_1077874617 - end_1077874617,76.68393325,28.252558,5.064652312631668e-08,residential
start_1076790093 - end_1076790093,76.76678315,28.25671665,5.064652312631668e-08,service
start_1077585255 - end_1077585255,76.82637615,28.2624443,5.064652312631668e-08,residential
start_1076521652 - end_1076521652,76.6615899,28.25630795,5.064652312631668e-08,tertiary
start_1076244666 - end_1076244666,76.51994834999999,28.2580826,5.064652312631668e-08,residential
start_1076535414 - end_1076535414,76.5726863,28.26844865,5.064652312631668e-08,residential
start_1077918044 - end_1077918044,76.8858785,28.26154905,5.064652312631668e-08,residential
start_1077901464 - end_1077901464,76.88976595,28.2640949,5.064652312631668e-08,residential
start_1077885352 - end_1077885352,76.89544799999999,28.2630522,5.064652312631668e-08,residential
start_1081664787 - end_1081664787,76.84073910000001,28.2638124,5.064652312631668e-08,service
start_1081671563 - end_1081671563,76.83927614999999,28.2624782,5.064652312631668e-08,service
start_663664164 - end_663664164,76.7087809,28.2463483,5.064652312631668e-08,unclassified
start_1077623131 - end_1077623131,76.6948803,28.24694565,5.064652312631668e-08,service
start_1076801333 - end_1076801333,76.77081129999999,28.2417095,5.064652312631668e-08,residential
start_184517963 - end_184517963,76.6469512,28.2564717,5.064652312631668e-08,residential
start_1076790096 - end_1076790096,76.76267535,28.25287625,5.064652312631668e-08,residential
start_1076749373 - end_1076749373,76.6125761,28.279446399999998,5.064652312631668e-08,service
start_1078986676 - end_1078986676,76.8465735,28.26190305,5.064652312631668e-08,residential
start_1076820795 - end_1076820795,76.8554143,28.243814450000002,5.064652312631668e-08,service
start_1076758331 - end_1076758331,76.60749545,28.245686,5.064652312631668e-08,residential
start_1076490536 - end_1076490536,76.53283735,28.277773500000002,5.064652312631668e-08,service
start_1076759139 - end_1076759139,76.60929715,28.24658815,5.064652312631668e-08,residential
start_1077943480 - end_1077943480,76.6833009,28.2528773,5.064652312631668e-08,residential
start_184518022 - end_184518022,76.65129315,28.2467603,5.064652312631668e-08,residential
start_170002867 - end_170002867,76.67710875,28.2437408,5.064652312631668e-08,tertiary
start_1076484091 - end_1076484091,76.55805655,28.2601113,5.064652312631668e-08,residential
start_1076790088 - end_1076790088,76.77317165,28.241118550000003,5.064652312631668e-08,residential
start_1077880501 - end_1077880501,76.89454805,28.26464005,5.064652312631668e-08,residential
start_1076472152 - end_1076472152,76.5411228,28.26327405,5.064652312631668e-08,residential
start_1076553428 - end_1076553428,76.6019497,28.2791109,5.064652312631668e-08,track
start_1077937676 - end_1077937676,76.7779752,28.271887149999998,5.064652312631668e-08,service
start_1077591446 - end_1077591446,76.69457595,28.2713044,5.064652312631668e-08,residential
start_1079351377 - end_1079351377,76.7922749,28.24140725,5.064652312631668e-08,unclassified
start_1077935029 - end_1077935029,76.86603865000001,28.26015735,5.064652312631668e-08,residential
start_1076790090 - end_1076790090,76.77614990000001,28.241556950000003,5.064652312631668e-08,residential
start_663790282 - end_663790282,76.793761,28.26935065,5.064652312631668e-08,tertiary
start_1077627470 - end_1077627470,76.71512325,28.24524205,5.064652312631668e-08,residential
start_1081667566 - end_1081667566,76.831317,28.2664582,5.064652312631668e-08,trunk_link
start_1281347032 - end_1281347032,76.81267514999999,28.240194799999998,5.064652312631668e-08,tertiary
start_752321274 - end_752321274,76.7407445,28.271604850000003,5.064652312631668e-08,residential
start_1282747261 - end_1282747261,76.81142220000001,28.24082525,5.064652312631668e-08,tertiary_link
start_1078189875 - end_1078189875,76.8483186,28.25874755,0.0,residential
