node,longitude,latitude,score
end_1076558124,76.7221883,28.2400034,29823.353784238392
start_1075961612,76.5848935,28.2606812,15085.856548836426
end_1075961616,76.5847896,28.2726891,12434.058211580175
start_1075771810,76.5832601,28.2470454,12110.929426275574
end_1077638653,76.8079977,28.2402056,8332.51965037786
end_1076795758,76.6294575,28.2559465,8095.822527487428
end_1076812039,76.6335265,28.2693851,7796.441493187783
end_1076765957,76.6049028,28.2757521,7364.185059537102
start_1076495970,76.5138709,28.2797303,7323.293368937627
start_1077883182,76.7868983,28.278569,6941.076983956001
end_1077903716,76.6920124,28.2404358,6720.553795944006
start_1076742643,76.5131258,28.255339,5461.337420631778
end_170002868,76.6791754,28.2508131,5293.55758262509
end_1077656679,76.8174077,28.2490237,5255.788033757446
end_164583896,76.6382239,28.2400868,5234.015171717897
start_1075723471,76.6000212,28.2512839,5026.133151705926
start_1077854218,76.8240099,28.2562292,4871.662712558708
start_1075755060,76.5426197,28.2762335,4330.338466298192
end_1076331437,76.6026744,28.2782692,4094.895172546393
end_1076743305,76.5105724,28.2787396,4005.4330493479133
