edge,longitude,latitude,betweenness,road_type
start_1076775851 - end_1076775851,76.84400579999999,28.26137215,5.064652312631668e-08,residential
start_1077585651 - end_1077585651,76.82862285,28.2625477,5.064652312631668e-08,residential
start_1078962105 - end_1078962105,76.83040679999999,28.26281175,5.064652312631668e-08,residential
start_663790283 - end_663790283,76.8043343,28.251898,5.064652312631668e-08,tertiary
start_1078430136 - end_1078430136,76.77875639999999,28.271988450000002,5.064652312631668e-08,residential
start_170002873 - end_170002873,76.67513765,28.2579751,5.064652312631668e-08,tertiary
start_663658990 - end_663658990,76.68948755,28.27767475,5.064652312631668e-08,tertiary
start_1078101849 - end_1078101849,76.8783435,28.2768496,5.064652312631668e-08,service
start_1078105091 - end_1078105091,76.85491454999999,28.25863715,5.064652312631668e-08,residential
start_1077943477 - end_1077943477,76.69134125,28.245862799999998,5.064652312631668e-08,residential
start_1077928678 - end_1077928678,76.7875545,28.2707696,5.064652312631668e-08,track
start_1077919800 - end_1077919800,76.80407,28.25880325,5.064652312631668e-08,track
start_1077666617 - end_1077666617,76.82264789999999,28.25615265,5.064652312631668e-08,service
start_1074693725 - end_1074693725,76.57714630000001,28.27613365,5.064652312631668e-08,unclassified
start_1077608743 - end_1077608743,76.70671064999999,28.24645695,5.064652312631668e-08,residential
start_1077588745 - end_1077588745,76.7088872,28.267044900000002,5.064652312631668e-08,service
start_1077592201 - end_1077592201,76.65050775,28.2647549,5.064652312631668e-08,residential
start_1076812036 - end_1076812036,76.64855259999999,28.2618783,5.064652312631668e-08,residential
start_1076794849 - end_1076794849,76.6476385,28.25003245,5.064652312631668e-08,residential
start_1076795225 - end_1076795225,76.77119160000001,28.2424009,5.064652312631668e-08,residential
start_1075956448 - end_1075956448,76.6059741,28.26323705,5.064652312631668e-08,residential
start_1076770095 - end_1076770095,76.60982135,28.2607018,5.064652312631668e-08,residential
start_1076763739 - end_1076763739,76.61794954999999,28.27217055,5.064652312631668e-08,residential
start_1076749375 - end_1076749375,76.6135093,28.27737235,5.064652312631668e-08,residential
start_1076742572 - end_1076742572,76.7467805,28.25614365,5.064652312631668e-08,residential
start_164583939 - end_164583939,76.57340185,28.2676928,5.064652312631668e-08,unclassified
start_1076528050 - end_1076528050,76.5555693,28.25222925,5.064652312631668e-08,track
start_1076497040 - end_1076497040,76.52491359999999,28.25529625,5.064652312631668e-08,track
start_1076501496 - end_1076501496,76.57715755000001,28.245501750000003,5.064652312631668e-08,residential
start_1076491678 - end_1076491678,76.551152,28.26239155,5.064652312631668e-08,residential
start_1076487610 - end_1076487610,76.5560169,28.26172775,5.064652312631668e-08,residential
start_162218484 - end_162218484,76.54761364999999,28.2715283,5.064652312631668e-08,unclassified
start_1075950975 - end_1075950975,76.59548695,28.27200785,5.064652312631668e-08,residential
start_164583942 - end_164583942,76.6287829,28.265539850000003,5.064652312631668e-08,tertiary
start_184517952 - end_184517952,76.65264875,28.2529797,5.064652312631668e-08,track
start_663658994 - end_663658994,76.6825466,28.277819649999998,5.064652312631668e-08,tertiary
start_1077902813 - end_1077902813,76.8932886,28.267115750000002,5.064652312631668e-08,service
start_1077880498 - end_1077880498,76.8925449,28.2638651,5.064652312631668e-08,residential
start_1076800300 - end_1076800300,76.6314324,28.2550606,5.064652312631668e-08,service
start_1077588843 - end_1077588843,76.8205102,28.27490955,5.064652312631668e-08,residential
start_1077592209 - end_1077592209,76.8213368,28.273861250000003,5.064652312631668e-08,residential
start_1078097923 - end_1078097923,76.86702825,28.2687133,5.064652312631668e-08,service
start_1077939670 - end_1077939670,76.8681883,28.27275765,5.064652312631668e-08,service
start_1078185896 - end_1078185896,76.836336,28.2657844,5.064652312631668e-08,residential
start_1077609299 - end_1077609299,76.80789185,28.24586765,5.064652312631668e-08,service
start_1077586252 - end_1077586252,76.82546310000001,28.26008985,5.064652312631668e-08,residential
start_1076774620 - end_1076774620,76.82818995,28.2403978,5.064652312631668e-08,service
start_1077615564 - end_1077615564,76.8142098,28.2475606,5.064652312631668e-08,service
start_1078120565 - end_1078120565,76.89682495,28.258076600000003,5.064652312631668e-08,residential
start_1077850190 - end_1077850190,76.88511145000001,28.27740645,5.064652312631668e-08,residential
start_1077926975 - end_1077926975,76.8564475,28.2613603,5.064652312631668e-08,residential
start_1077588747 - end_1077588747,76.71467545,28.26813275,5.064652312631668e-08,service
start_1077875289 - end_1077875289,76.73818994999999,28.26703215,5.064652312631668e-08,service
start_663805769 - end_663805769,76.73377005,28.2766267,5.064652312631668e-08,tertiary
start_1076792109 - end_1076792109,76.7723872,28.256662650000003,5.064652312631668e-08,residential
start_663805747 - end_663805747,76.74531025,28.2435823,5.064652312631668e-08,residential
start_1077616009 - end_1077616009,76.69650985,28.2434977,5.064652312631668e-08,service
start_170002882 - end_170002882,76.68336024999999,28.2529744,5.064652312631668e-08,residential
start_1077874617 - end_1077874617,76.68393325,28.252558,5.064652312631668e-08,residential
start_1078111122 - end_1078111122,76.68582574999999,28.2581897,5.064652312631668e-08,track
start_1077585255 - end_1077585255,76.82637615,28.2624443,5.064652312631668e-08,residential
start_1077585256 - end_1077585256,76.82592195,28.26253525,5.064652312631668e-08,residential
start_184517927 - end_184517927,76.65731375,28.251958899999998,5.064652312631668e-08,unclassified
start_1077868399 - end_1077868399,76.6804166,28.256285050000002,5.064652312631668e-08,residential
start_1076253791 - end_1076253791,76.52806375,28.2749016,5.064652312631668e-08,service
start_1078102544 - end_1078102544,76.67914595,28.2736549,5.064652312631668e-08,residential
start_1076818750 - end_1076818750,76.6388903,28.269319799999998,5.064652312631668e-08,unclassified
start_1077867026 - end_1077867026,76.7210499,28.2576277,5.064652312631668e-08,service
start_663805745 - end_663805745,76.74668975,28.2435354,5.064652312631668e-08,residential
start_1077888789 - end_1077888789,76.6880693,28.24355125,5.064652312631668e-08,residential
start_1076766946 - end_1076766946,76.7195301,28.24115045,5.064652312631668e-08,service
start_184517933 - end_184517933,76.6510422,28.2460338,5.064652312631668e-08,residential
start_184517983 - end_184517983,76.64903799999999,28.24991335,5.064652312631668e-08,residential
start_1076527376 - end_1076527376,76.66191065000001,28.2493444,5.064652312631668e-08,residential
start_1081671564 - end_1081671564,76.83504805,28.2637382,5.064652312631668e-08,residential
start_1077909255 - end_1077909255,76.79869815,28.26084685,5.064652312631668e-08,residential
start_1077869626 - end_1077869626,76.7389775,28.272681,5.064652312631668e-08,residential
start_1076529358 - end_1076529358,76.66312135000001,28.2483189,5.064652312631668e-08,residential
start_1078191444 - end_1078191444,76.8457127,28.26214425,5.064652312631668e-08,residential
start_1078105094 - end_1078105094,76.8512588,28.2606338,5.064652312631668e-08,residential
start_1081667572 - end_1081667572,76.8331699,28.2632288,5.064652312631668e-08,residential
start_1076824927 - end_1076824927,76.86984325,28.24288765,5.064652312631668e-08,service
start_1076758331 - end_1076758331,76.60749545,28.245686,5.064652312631668e-08,residential
start_1076523725 - end_1076523725,76.55998715000001,28.240930249999998,5.064652312631668e-08,track
start_1077887086 - end_1077887086,76.7709815,28.2709446,5.064652312631668e-08,residential
start_1076763759 - end_1076763759,76.64935779999999,28.258969550000003,5.064652312631668e-08,residential
start_1077588470 - end_1077588470,76.62237605,28.24873805,5.064652312631668e-08,service
start_1077867073 - end_1077867073,76.68181835,28.2409651,5.064652312631668e-08,residential
start_1077590014 - end_1077590014,76.62061904999999,28.24808405,5.064652312631668e-08,residential
start_1078986675 - end_1078986675,76.84847475000001,28.2607796,5.064652312631668e-08,residential
start_1078105082 - end_1078105082,76.85734790000001,28.2596075,5.064652312631668e-08,residential
start_1077880501 - end_1077880501,76.89454805,28.26464005,5.064652312631668e-08,residential
start_1075932645 - end_1075932645,76.5965488,28.267800049999998,5.064652312631668e-08,residential
start_1077867032 - end_1077867032,76.73632735000001,28.2691838,5.064652312631668e-08,residential
start_1076763737 - end_1076763737,76.61880445,28.2720504,5.064652312631668e-08,residential
start_1076763743 - end_1076763743,76.61770709999999,28.2701937,5.064652312631668e-08,residential
start_1077868393 - end_1077868393,76.6742955,28.24123265,5.064652312631668e-08,residential
start_184518005 - end_184518005,76.64920285,28.250621549999998,5.064652312631668e-08,residential
start_1076824129 - end_1076824129,76.87075250000001,28.2413219,5.064652312631668e-08,residential
start_639627339 - end_639627339,76.83993085,28.27131085,5.064652312631668e-08,tertiary
